symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
6E,2010-06-07,1.2034,1.2095,1.1977,1.2026,1.1923,364148,0
6E,2010-06-08,1.2027,1.2113,1.2005,1.2062,1.1959,418853,0
6E,2010-06-09,1.2063,1.2177,1.2027,1.2093,1.199,332435,0
6E,2010-06-10,1.2092,1.2247,1.206,1.2236,1.2133,275345,0
6E,2010-06-11,1.2235,1.2258,1.2148,1.2213,1.211,87235,0
6E,2010-06-13,1.2225,1.231,1.2178,1.2308,1.2205,1333,0
6E,2010-06-14,1.2308,1.2373,1.2178,1.2178,1.2075,8526,0
6E,2010-06-15,1.2324,1.2463,1.228,1.2428,1.2325,329478,0
6E,2010-06-16,1.2428,1.2466,1.2366,1.2411,1.2308,254923,0
6E,2010-06-17,1.2412,1.2526,1.2354,1.2499,1.2396,314878,0
6E,2010-06-18,1.2499,1.2529,1.2465,1.2503,1.24,186626,0
6E,2010-06-20,1.2542,1.2543,1.2474,1.2526,1.2423,5558,0
6E,2010-06-21,1.2527,1.258,1.2414,1.2432,1.2329,251755,0
6E,2010-06-22,1.2433,1.2465,1.2361,1.2375,1.2272,279681,0
6E,2010-06-23,1.2376,1.2455,1.2319,1.2417,1.2314,311395,0
6E,2010-06-24,1.2418,1.2498,1.2371,1.2445,1.2342,341579,0
6E,2010-06-25,1.2444,1.2505,1.2363,1.2481,1.2378,293033,0
6E,2010-06-27,1.2487,1.2498,1.2477,1.2494,1.2391,1754,0
6E,2010-06-28,1.2494,1.2507,1.2373,1.2396,1.2293,249288,0
6E,2010-06-29,1.2396,1.2399,1.226,1.2294,1.2191,327179,0
6E,2010-06-30,1.2295,1.2414,1.2275,1.2336,1.2233,341932,0
6E,2010-07-01,1.2335,1.2648,1.23,1.2619,1.2516,469096,0
6E,2010-07-02,1.2618,1.272,1.2584,1.2657,1.2554,268755,0
6E,2010-07-04,1.2662,1.267,1.265,1.2654,1.2551,1362,0
6E,2010-07-05,1.2654,1.2666,1.2612,1.2615,1.2512,57004,0
6E,2010-07-06,1.2614,1.2769,1.2586,1.2728,1.2625,297526,0
6E,2010-07-07,1.2727,1.2771,1.2659,1.2729,1.2626,286728,0
6E,2010-07-08,1.2729,1.2828,1.2729,1.2794,1.2691,248019,0
6E,2010-07-09,1.2793,1.2826,1.2712,1.2744,1.2641,244052,0
6E,2010-07-11,1.2743,1.2752,1.2735,1.2743,1.264,1884,0
6E,2010-07-12,1.2742,1.2749,1.2655,1.2708,1.2605,183174,0
6E,2010-07-13,1.2708,1.2843,1.2627,1.2823,1.272,334667,0
6E,2010-07-14,1.2822,1.2882,1.2785,1.2838,1.2735,252630,0
6E,2010-07-15,1.2837,1.307,1.2811,1.3021,1.2918,339428,0
6E,2010-07-16,1.3022,1.3109,1.2992,1.3028,1.2925,284015,0
6E,2010-07-18,1.3009,1.3021,1.2991,1.2991,1.2888,4316,0
6E,2010-07-19,1.299,1.3093,1.2972,1.3042,1.2939,221361,0
6E,2010-07-20,1.3042,1.3132,1.2941,1.3007,1.2904,281694,0
6E,2010-07-21,1.3008,1.3015,1.2834,1.2862,1.2759,271155,0
6E,2010-07-22,1.2862,1.3036,1.284,1.3014,1.2911,280465,0
6E,2010-07-23,1.3015,1.3069,1.2895,1.301,1.2907,343437,0
6E,2010-07-25,1.2999,1.303,1.2979,1.3026,1.2923,3035,0
6E,2010-07-26,1.3026,1.3109,1.2991,1.3085,1.2982,226544,0
6E,2010-07-27,1.3084,1.3149,1.3053,1.309,1.2987,274343,0
6E,2010-07-28,1.3091,1.3144,1.3068,1.3101,1.2998,218342,0
6E,2010-07-29,1.3102,1.3209,1.308,1.3169,1.3066,249459,0
6E,2010-07-30,1.3169,1.3197,1.3083,1.3151,1.3048,281427,0
