symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
CL,2010-06-07,86.73,88.88,85.9,87.38,70.99,378985,0
CL,2010-06-08,87.38,89.07,87.16,88.76,72.37,381371,0
CL,2010-06-09,88.78,91.38,88.42,90.38,73.99,404640,0
CL,2010-06-10,90.37,92.69,90.16,91.97,75.58,384521,0
CL,2010-06-11,91.99,92.07,89.65,90.59,74.2,382363,0
CL,2010-06-13,90.45,91.03,90.43,91.02,74.63,3369,0
CL,2010-06-14,91.03,92.47,90.52,91.22,74.83,285506,0
CL,2010-06-15,91.24,93.62,91.01,93.58,77.19,282290,0
CL,2010-06-16,93.57,94.54,92.44,93.65,77.26,296702,0
CL,2010-06-17,93.62,94.21,92.56,92.78,76.39,267777,0
CL,2010-06-18,92.77,93.92,91.95,93.74,77.35,139062,0
CL,2010-06-20,93.89,94.53,93.72,94.39,78.0,1380,0
CL,2010-06-21,94.36,95.31,93.27,93.85,77.46,80631,0
CL,2010-06-22,93.88,94.49,92.92,93.59,77.2,20193,0
CL,2010-06-23,93.88,94.22,91.56,92.53,76.14,347166,0
CL,2010-06-24,92.52,93.18,91.68,92.9,76.51,247346,0
CL,2010-06-25,92.91,95.59,92.24,95.58,79.19,301003,0
CL,2010-06-27,95.39,95.39,94.97,95.28,78.89,2636,0
CL,2010-06-28,95.27,95.81,94.1,94.56,78.17,199585,0
CL,2010-06-29,94.58,94.71,91.54,91.72,75.33,304426,0
CL,2010-06-30,91.77,93.22,90.74,91.73,75.34,336894,0
CL,2010-07-01,91.71,91.82,88.37,89.26,72.87,382778,0
CL,2010-07-02,89.26,89.77,87.93,88.66,72.27,235212,0
CL,2010-07-04,88.45,88.96,88.45,88.84,72.45,763,0
CL,2010-07-05,88.88,89.09,87.69,87.86,71.47,19374,0
CL,2010-07-06,87.86,90.33,87.48,88.73,72.34,276876,0
CL,2010-07-07,88.71,91.37,87.83,91.13,74.74,264273,0
CL,2010-07-08,91.11,92.39,90.77,92.17,75.78,297522,0
CL,2010-07-09,92.18,92.93,91.32,92.84,76.45,224745,0
CL,2010-07-11,92.69,92.74,92.49,92.6,76.21,920,0
CL,2010-07-12,92.63,92.82,90.91,91.45,75.06,266435,0
CL,2010-07-13,91.44,93.81,90.64,93.66,77.27,316012,0
CL,2010-07-14,93.64,94.57,92.75,93.01,76.62,317549,0
CL,2010-07-15,93.01,94.05,91.63,93.34,76.95,319761,0
CL,2010-07-16,93.36,93.37,91.58,92.19,75.8,206686,0
CL,2010-07-18,92.11,92.24,91.89,91.97,75.58,672,0
CL,2010-07-19,91.95,94.12,91.94,92.74,76.35,135024,0
CL,2010-07-20,92.82,93.96,92.04,93.69,77.3,29596,0
CL,2010-07-21,94.03,95.0,92.5,92.95,76.56,308712,0
CL,2010-07-22,92.95,95.9,92.55,95.64,79.25,345829,0
CL,2010-07-23,95.62,95.99,94.76,95.28,78.89,243441,0
CL,2010-07-25,95.37,95.38,95.03,95.21,78.82,1521,0
CL,2010-07-26,95.24,95.74,94.37,95.34,78.95,208010,0
CL,2010-07-27,95.31,96.08,93.15,93.5,77.11,363254,0
CL,2010-07-28,93.51,94.16,92.27,93.37,76.98,297664,0
CL,2010-07-29,93.37,95.33,92.8,94.62,78.23,335104,0
CL,2010-07-30,94.61,95.49,93.12,95.38,78.99,271418,0
CL,2010-08-01,95.34,95.64,95.16,95.39,79.0,884,0
CL,2010-08-02,95.4,98.16,95.35,97.81,81.42,283506,0
CL,2010-08-03,97.8,99.09,97.49,98.65,82.26,276578,0
CL,2010-08-04,98.65,99.4,97.93,98.77,82.38,279121,0
CL,2010-08-05,98.78,98.87,97.89,98.47,82.08,217414,0
CL,2010-08-06,98.46,99.1,96.35,97.27,80.88,368413,0
CL,2010-08-08,97.3,97.34,97.14,97.23,80.84,676,0
CL,2010-08-09,97.25,98.2,97.1,97.95,81.56,234807,0
CL,2010-08-10,97.93,98.01,95.51,96.6,80.21,355126,0
CL,2010-08-11,96.59,96.77,93.61,93.95,77.56,374292,0
CL,2010-08-12,93.97,94.36,91.85,92.48,76.09,386492,0
CL,2010-08-13,92.5,93.22,91.33,92.06,75.67,253744,0
CL,2010-08-15,91.99,92.24,91.81,91.83,75.44,1242,0
CL,2010-08-16,91.84,92.34,91.16,91.53,75.14,202461,0
CL,2010-08-17,91.52,93.06,91.46,92.03,75.64,320080,0
CL,2010-08-18,92.06,92.18,90.14,91.64,75.25,227196,0
