symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
ES,2010-06-07,2783.5,2793.0,2769.25,2773.75,1051.5,2317993,0
ES,2010-06-08,2773.75,2785.5,2763.5,2781.0,1058.75,3307153,0
ES,2010-06-09,2781.0,2800.0,2773.5,2777.5,1055.25,2691352,0
ES,2010-06-10,2777.5,2810.0,2774.75,2806.75,1084.5,1798787,0
ES,2010-06-11,2807.0,2814.5,2796.75,2811.75,1089.5,716356,0
ES,2010-06-13,2812.75,2817.75,2812.0,2817.5,1095.25,5518,0
ES,2010-06-14,2817.0,2828.25,2811.0,2812.25,1090.0,399393,0
ES,2010-06-15,2812.25,2838.0,2810.75,2833.75,1111.5,333698,0
ES,2010-06-16,2833.5,2841.25,2826.5,2833.0,1110.75,213469,0
ES,2010-06-17,2833.25,2844.75,2827.75,2837.75,1115.5,177800,0
ES,2010-06-18,2837.75,2841.25,2835.25,2841.0,1118.75,21665,0
ES,2010-06-20,2838.25,2849.75,2837.75,2846.5,1124.25,33521,0
ES,2010-06-21,2846.75,2851.75,2825.5,2833.75,1111.5,2138861,0
ES,2010-06-22,2833.5,2839.25,2811.75,2814.5,1092.25,2289262,0
ES,2010-06-23,2814.25,2820.0,2802.5,2808.75,1086.5,2229777,0
ES,2010-06-24,2808.75,2813.25,2788.75,2795.25,1073.0,2557333,0
ES,2010-06-25,2795.25,2801.75,2785.0,2797.0,1074.75,2425605,0
ES,2010-06-27,2796.5,2799.75,2796.5,2797.75,1075.5,10972,0
ES,2010-06-28,2797.5,2802.0,2788.75,2794.25,1072.0,1687469,0
ES,2010-06-29,2794.0,2797.0,2752.5,2758.0,1035.75,3110174,0
ES,2010-06-30,2757.75,2766.75,2745.0,2748.5,1026.25,2622460,0
ES,2010-07-01,2748.5,2752.0,2728.25,2746.5,1024.25,3329192,0
ES,2010-07-02,2746.5,2754.75,2733.0,2736.5,1014.25,2123284,0
ES,2010-07-04,2737.25,2738.75,2735.25,2737.25,1015.0,6686,0
ES,2010-07-05,2737.25,2740.75,2729.5,2730.5,1008.25,120986,0
ES,2010-07-06,2730.25,2760.75,2725.0,2746.25,1024.0,2312215,0
ES,2010-07-07,2746.5,2782.0,2738.5,2780.5,1058.25,2562899,0
ES,2010-07-08,2780.25,2790.75,2776.25,2787.5,1065.25,2092503,0
ES,2010-07-09,2787.5,2797.25,2785.5,2794.0,1071.75,1409497,0
ES,2010-07-11,2793.75,2794.5,2792.25,2792.75,1070.5,6670,0
ES,2010-07-12,2792.75,2803.25,2787.75,2801.75,1079.5,1393232,0
ES,2010-07-13,2801.75,2821.25,2795.25,2820.0,1097.75,2043551,0
ES,2010-07-14,2820.25,2820.75,2805.75,2813.75,1091.5,1886073,0
ES,2010-07-15,2813.75,2821.5,2798.5,2816.0,1093.75,2429681,0
ES,2010-07-16,2816.0,2817.0,2781.25,2785.5,1063.25,2475063,0
ES,2010-07-18,2784.0,2785.25,2782.25,2783.75,1061.5,10787,0
ES,2010-07-19,2784.0,2793.25,2779.25,2783.25,1061.0,1744433,0
ES,2010-07-20,2783.5,2807.25,2773.0,2803.25,1081.0,2294129,0
ES,2010-07-21,2803.25,2810.0,2783.25,2787.25,1065.0,2395670,0
