symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
GC,2010-06-07,2506.8,2536.4,2502.7,2533.3,1241.6,860,0
GC,2010-06-08,2530.4,2543.8,2525.8,2528.7,1237.0,761,0
GC,2010-06-09,2529.9,2529.9,2513.7,2523.3,1231.6,419,0
GC,2010-06-10,2522.5,2522.5,2506.8,2508.8,1217.1,478,0
GC,2010-06-11,2511.2,2521.3,2509.7,2518.7,1227.0,179,0
GC,2010-06-13,2521.9,2521.9,2521.9,2521.9,1230.2,1,0
GC,2010-06-14,2523.7,2524.4,2509.4,2514.0,1222.3,229,0
GC,2010-06-15,2515.7,2527.7,2514.1,2525.2,1233.5,242,0
GC,2010-06-16,2523.7,2529.3,2520.2,2522.1,1230.4,297,0
GC,2010-06-17,2525.6,2542.8,2525.6,2538.9,1247.2,266,0
GC,2010-06-18,2539.4,2553.2,2534.6,2547.8,1256.1,130,0
GC,2010-06-21,2549.1,2556.5,2523.7,2523.9,1232.2,219,0
GC,2010-06-22,2531.2,2534.5,2523.8,2532.7,1241.0,172,0
GC,2010-06-23,2531.9,2536.8,2518.6,2529.0,1237.3,100,0
GC,2010-06-24,2528.1,2540.1,2522.4,2535.3,1243.6,161,0
GC,2010-06-25,2535.0,2548.7,2535.0,2547.7,1256.0,152,0
GC,2010-06-28,2547.8,2553.9,2529.7,2530.9,1239.2,46,0
GC,2010-06-29,2532.9,2536.7,2520.2,2533.5,1241.8,416,0
GC,2010-06-30,2535.2,2537.9,2528.4,2533.5,1241.8,73,0
GC,2010-07-01,2533.4,2534.1,2493.1,2493.8,1202.1,52,0
GC,2010-07-02,2497.5,2503.3,2492.5,2501.7,1210.0,167,0
GC,2010-07-05,2502.4,2502.4,2497.9,2498.4,1206.7,9,0
GC,2010-07-06,2499.4,2503.5,2481.7,2484.7,1193.0,43,0
GC,2010-07-07,2477.5,2490.4,2477.0,2490.4,1198.7,18,0
GC,2010-07-08,2495.0,2495.0,2481.0,2490.2,1198.5,97,0
GC,2010-07-09,2486.7,2504.7,2486.7,2501.9,1210.2,18,0
GC,2010-07-12,2497.4,2497.9,2495.7,2496.5,1204.8,45,0
GC,2010-07-13,2496.9,2509.1,2496.9,2504.7,1213.0,53,0
GC,2010-07-14,2503.7,2507.7,2494.1,2500.9,1209.2,54,0
GC,2010-07-15,2504.9,2504.9,2500.1,2501.3,1209.6,32,0
GC,2010-07-16,2492.6,2492.7,2478.4,2481.5,1189.8,46,0
GC,2010-07-19,2473.9,2473.9,2471.7,2473.9,1182.2,4,0
GC,2010-07-20,2474.9,2483.3,2473.2,2483.3,1191.6,8,0
GC,2010-07-21,2482.4,2486.2,2475.8,2475.8,1184.1,24,0
GC,2010-07-22,2476.6,2488.8,2476.6,2486.5,1194.8,79,0
GC,2010-07-23,2485.4,2490.3,2479.7,2479.7,1188.0,32,0
GC,2010-07-26,2484.3,2484.3,2473.9,2475.7,1184.0,37,0
GC,2010-07-27,2465.7,2465.9,2454.4,2454.5,1162.8,29,0
GC,2010-07-28,2451.5,2451.5,2451.5,2451.5,1159.8,1,0
GC,2010-07-29,2455.4,2460.9,2450.4,2457.9,1166.2,49755,0
GC,2010-07-30,2459.5,2474.9,2457.5,2472.8,1181.1,5236,0
GC,2010-08-01,2473.5,2473.9,2472.8,2472.8,1181.1,80,0
GC,2010-08-02,2473.3,2483.5,2466.4,2475.0,1183.3,2377,0
GC,2010-08-03,2475.5,2482.2,2471.7,2481.5,1189.8,602,0
GC,2010-08-04,2480.8,2494.7,2480.8,2486.0,1194.3,1064,0
GC,2010-08-05,2486.0,2491.0,2481.7,2487.4,1195.7,214,0
GC,2010-08-06,2487.1,2502.7,2487.0,2497.2,1205.5,347,0
GC,2010-08-08,2497.5,2497.9,2496.9,2497.6,1205.9,15,0
GC,2010-08-09,2496.7,2501.2,2491.5,2492.3,1200.6,653,0
GC,2010-08-10,2493.3,2498.2,2482.7,2494.6,1202.9,703,0
GC,2010-08-11,2494.5,2499.7,2484.7,2490.1,1198.4,351,0
GC,2010-08-12,2492.2,2507.2,2490.7,2505.7,1214.0,303,0
GC,2010-08-13,2506.8,2507.7,2504.2,2505.7,1214.0,124,0
GC,2010-08-16,2509.7,2517.1,2509.7,2516.0,1224.3,252,0
GC,2010-08-17,2519.1,2519.1,2515.6,2517.1,1225.4,84,0
GC,2010-08-18,2517.7,2523.3,2509.7,2521.6,1229.9,135,0
GC,2010-08-19,2521.3,2529.3,2520.5,2524.2,1232.5,47,0
GC,2010-08-20,2524.4,2524.5,2514.7,2519.4,1227.7,85,0
GC,2010-08-23,2520.6,2520.6,2514.6,2517.7,1226.0,56,0
GC,2010-08-24,2514.7,2526.0,2503.2,2522.5,1230.8,300,0
GC,2010-08-25,2522.4,2532.4,2522.4,2531.0,1239.3,300,0
GC,2010-08-26,2532.6,2535.0,2526.7,2529.4,1237.7,102,0
GC,2010-08-27,2527.4,2533.6,2526.5,2526.5,1234.8,32,0
GC,2010-08-29,2528.8,2528.8,2528.7,2528.8,1237.1,3,0
GC,2010-08-30,2529.0,2529.6,2525.7,2527.8,1236.1,123,0
GC,2010-08-31,2528.8,2541.1,2524.7,2539.2,1247.5,124,0
GC,2010-09-01,2544.0,2546.0,2535.3,2535.9,1244.2,41,0
