symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
NQ,2010-06-07,7423.25,7442.5,7390.75,7399.25,1802.25,331884,0
NQ,2010-06-08,7399.0,7414.75,7367.0,7389.25,1792.25,406839,0
NQ,2010-06-09,7388.75,7420.5,7370.75,7376.75,1779.75,341131,0
NQ,2010-06-10,7376.75,7428.75,7373.25,7420.75,1823.75,177135,0
NQ,2010-06-11,7420.0,7445.75,7404.75,7441.0,1844.0,77933,0
NQ,2010-06-13,7445.0,7474.75,7442.25,7451.75,1854.75,276,0
NQ,2010-06-14,7451.25,7474.25,7441.0,7445.25,1848.25,40392,0
NQ,2010-06-15,7446.0,7496.0,7443.25,7487.75,1890.75,27795,0
NQ,2010-06-16,7488.0,7510.5,7477.0,7499.25,1902.25,26977,0
NQ,2010-06-17,7498.5,7515.75,7491.0,7506.0,1909.0,21075,0
NQ,2010-06-18,7506.25,7512.75,7503.25,7512.0,1915.0,1311,0
NQ,2010-06-20,7520.0,7529.75,7519.0,7529.25,1932.25,2425,0
NQ,2010-06-21,7529.25,7538.0,7480.75,7497.75,1900.75,326633,0
NQ,2010-06-22,7497.75,7513.75,7473.5,7478.25,1881.25,335573,0
NQ,2010-06-23,7477.75,7487.0,7454.75,7466.0,1869.0,322549,0
NQ,2010-06-24,7466.0,7472.25,7434.25,7446.25,1849.25,339709,0
NQ,2010-06-25,7446.0,7453.5,7424.25,7436.5,1839.5,321743,0
NQ,2010-06-27,7436.0,7440.75,7435.5,7438.25,1841.25,610,0
NQ,2010-06-28,7438.0,7448.5,7418.25,7432.25,1835.25,282138,0
NQ,2010-06-29,7432.5,7436.5,7345.0,7361.5,1764.5,478729,0
NQ,2010-06-30,7361.5,7374.5,7329.25,7334.25,1737.25,369789,0
NQ,2010-07-01,7334.5,7342.75,7295.0,7330.0,1733.0,505536,0
NQ,2010-07-02,7329.75,7342.75,7307.25,7317.75,1720.75,316124,0
NQ,2010-07-04,7319.0,7320.5,7315.75,7319.0,1722.0,414,0
NQ,2010-07-05,7319.25,7325.5,7309.0,7310.5,1713.5,13619,0
NQ,2010-07-06,7310.5,7359.5,7302.75,7331.25,1734.25,346494,0
NQ,2010-07-07,7331.5,7389.25,7318.75,7384.75,1787.75,304871,0
NQ,2010-07-08,7385.0,7400.25,7371.5,7390.0,1793.0,309481,0
NQ,2010-07-09,7390.25,7412.25,7386.25,7408.75,1811.75,206768,0
NQ,2010-07-11,7407.0,7408.5,7404.5,7405.75,1808.75,487,0
NQ,2010-07-12,7405.5,7426.75,7398.25,7422.25,1825.25,239885,0
NQ,2010-07-13,7422.25,7462.0,7415.0,7460.5,1863.5,320960,0
NQ,2010-07-14,7460.5,7463.25,7435.0,7448.5,1851.5,325075,0
NQ,2010-07-15,7448.5,7461.5,7425.5,7451.25,1854.25,368744,0
NQ,2010-07-16,7451.5,7452.75,7397.0,7399.0,1802.0,394662,0
NQ,2010-07-18,7397.5,7398.5,7379.5,7396.0,1799.0,2314,0
NQ,2010-07-19,7396.5,7418.25,7389.5,7397.0,1800.0,302981,0
NQ,2010-07-20,7397.0,7454.5,7378.75,7448.0,1851.0,357978,0
NQ,2010-07-21,7447.5,7457.0,7408.0,7415.0,1818.0,392175,0
NQ,2010-07-22,7414.75,7466.25,7410.0,7454.25,1857.25,349626,0
NQ,2010-07-23,7454.0,7473.25,7441.25,7472.0,1875.0,324495,0
NQ,2010-07-25,7471.25,7474.75,7469.25,7471.25,1874.25,967,0
NQ,2010-07-26,7471.25,7485.25,7463.0,7481.75,1884.75,254026,0
NQ,2010-07-27,7482.0,7497.75,7475.25,7483.75,1886.75,270120,0
NQ,2010-07-28,7483.75,7491.75,7461.75,7466.0,1869.0,254356,0
NQ,2010-07-29,7466.0,7483.5,7435.5,7452.0,1855.0,384112,0
NQ,2010-07-30,7452.25,7470.5,7428.5,7460.75,1863.75,354195,0
NQ,2010-08-01,7465.75,7472.0,7461.5,7466.5,1869.5,1029,0
NQ,2010-08-02,7466.5,7498.75,7465.75,7492.0,1895.0,244226,0
NQ,2010-08-03,7491.75,7495.25,7476.75,7491.25,1894.25,215495,0
NQ,2010-08-04,7491.0,7507.0,7480.25,7503.5,1906.5,276669,0
NQ,2010-08-05,7503.75,7509.75,7488.0,7499.0,1902.0,223408,0
NQ,2010-08-06,7498.75,7504.75,7468.25,7502.5,1905.5,372542,0
NQ,2010-08-08,7500.0,7503.5,7495.5,7495.75,1898.75,751,0
NQ,2010-08-09,7496.0,7515.0,7495.5,7510.0,1913.0,183888,0
NQ,2010-08-10,7510.0,7510.75,7477.75,7489.5,1892.5,345749,0
NQ,2010-08-11,7490.0,7491.25,7409.75,7420.0,1823.0,416785,0
NQ,2010-08-12,7420.25,7435.25,7403.25,7428.75,1831.75,339684,0
NQ,2010-08-13,7429.25,7439.75,7412.25,7413.5,1816.5,238272,0
NQ,2010-08-15,7414.75,7416.0,7410.5,7411.75,1814.75,1340,0
NQ,2010-08-16,7411.5,7430.25,7397.0,7415.25,1818.25,286308,0
NQ,2010-08-17,7415.5,7457.5,7414.0,7438.0,1841.0,272005,0
NQ,2010-08-18,7437.5,7459.25,7428.0,7433.5,1836.5,299419,0
NQ,2010-08-19,7433.5,7447.5,7407.25,7419.75,1822.75,346032,0
NQ,2010-08-20,7419.5,7426.75,7405.5,7423.75,1826.75,262691,0
NQ,2010-08-22,7421.75,7429.5,7421.5,7427.0,1830.0,1349,0
NQ,2010-08-23,7427.0,7439.75,7399.0,7400.75,1803.75,275125,0
NQ,2010-08-24,7400.5,7406.0,7363.0,7374.0,1777.0,317490,0
NQ,2010-08-25,7374.0,7395.5,7353.75,7389.5,1792.5,354563,0
NQ,2010-08-26,7389.75,7399.75,7359.25,7362.25,1765.25,324873,0
NQ,2010-08-27,7362.25,7391.5,7341.0,7387.25,1790.25,390943,0
NQ,2010-08-29,7387.75,7395.5,7387.25,7392.75,1795.75,849,0
NQ,2010-08-30,7392.5,7402.5,7365.25,7369.0,1772.0,256056,0
NQ,2010-08-31,7368.25,7378.75,7351.5,7370.75,1773.75,362507,0
NQ,2010-09-01,7371.0,7422.0,7368.75,7417.5,1820.5,387085,0
NQ,2010-09-02,7418.0,7438.25,7410.0,7433.25,1836.25,250969,0
NQ,2010-09-03,7433.25,7468.25,7431.5,7464.5,1867.5,304943,0
NQ,2010-09-05,7464.5,7469.0,7462.75,7466.75,1869.75,405,0
NQ,2010-09-06,7466.75,7475.0,7464.0,7464.5,1867.5,13887,0
NQ,2010-09-07,7464.0,7470.75,7450.75,7454.75,1857.75,257073,0
NQ,2010-09-08,7455.5,7485.0,7449.25,7479.25,1882.25,293573,0
NQ,2010-09-09,7479.0,7494.75,7471.75,7483.75,1886.75,182243,0
NQ,2010-09-10,7483.0,7493.75,7477.0,7488.75,1891.75,70486,0
NQ,2010-09-12,7493.5,7500.25,7493.5,7500.25,1903.25,798,0
NQ,2010-09-13,7500.25,7522.25,7500.25,7516.5,1919.5,49852,0
NQ,2010-09-14,7516.5,7535.75,7509.5,7520.5,1923.5,40481,0
NQ,2010-09-15,7520.25,7540.75,7513.75,7537.75,1940.75,25038,0
NQ,2010-09-16,7537.75,7554.75,7529.0,7553.75,1956.75,21158,0
NQ,2010-09-17,7554.75,7570.0,7552.0,7559.0,1962.0,1853,0
NQ,2010-09-19,7547.5,7551.25,7544.25,7547.5,1950.5,2304,0
