symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
ZB,2010-06-07,123.0938,123.5312,122.2812,123.2812,125.2188,2305,0
ZB,2010-06-08,123.1562,123.375,122.75,122.9375,124.875,2005,0
ZB,2010-06-09,122.9062,123.0312,122.2188,122.9375,124.875,1256,0
ZB,2010-06-10,123.0625,123.0938,121.1562,121.1562,123.0938,2239,0
ZB,2010-06-11,121.3438,122.7188,121.3125,122.4688,124.4062,646,0
ZB,2010-06-14,122.2188,122.2188,121.375,122.2188,124.1562,626,0
ZB,2010-06-15,121.9688,122.4688,121.1562,121.375,123.3125,1101,0
ZB,2010-06-16,121.4062,122.3438,121.4062,122.0,123.9375,1098,0
ZB,2010-06-17,122.25,123.0938,121.625,122.9375,124.875,600,0
ZB,2010-06-18,122.9062,123.25,122.4688,122.5625,124.5,1591,0
ZB,2010-06-20,122.3125,122.3125,122.25,122.25,124.1875,5,0
ZB,2010-06-21,121.8125,122.3438,121.375,122.3438,124.2812,898,0
ZB,2010-06-22,121.625,122.9062,121.3438,122.7812,124.7188,212934,0
ZB,2010-06-23,122.75,123.8125,122.4375,123.3438,125.2812,257072,0
ZB,2010-06-24,123.3438,124.0312,122.8125,123.0,124.9375,267814,0
ZB,2010-06-25,122.9688,123.7812,122.6562,123.4375,125.375,227515,0
ZB,2010-06-27,123.5938,123.6562,123.4688,123.5625,125.5,1267,0
ZB,2010-06-28,123.5938,124.5625,123.5,124.3125,126.25,198375,0
ZB,2010-06-29,124.3125,125.4688,124.2812,125.4375,127.375,324212,0
ZB,2010-06-30,125.4375,125.8125,124.9688,125.6562,127.5938,292518,0
ZB,2010-07-01,125.6562,126.6562,125.5,125.7188,127.6562,336578,0
ZB,2010-07-02,125.7188,126.3438,125.125,125.25,127.1875,256789,0
ZB,2010-07-04,125.25,125.5,125.2188,125.4062,127.3438,511,0
ZB,2010-07-05,125.375,126.25,125.125,126.0312,127.9688,16758,0
ZB,2010-07-06,126.0312,126.2188,125.2188,125.9688,127.9062,211129,0
ZB,2010-07-07,125.9688,126.25,125.1875,125.2188,127.1562,217556,0
ZB,2010-07-08,125.2188,125.5312,124.4062,124.75,126.6875,234672,0
ZB,2010-07-09,124.7188,124.875,124.2188,124.3125,126.25,162646,0
ZB,2010-07-11,124.2812,124.4062,124.25,124.375,126.3125,957,0
ZB,2010-07-12,124.3438,125.0625,124.1562,124.25,126.1875,199205,0
ZB,2010-07-13,124.2188,124.75,123.2812,123.3438,125.2812,231116,0
ZB,2010-07-14,123.3438,124.8125,123.3438,124.7812,126.7188,345122,0
ZB,2010-07-15,124.7812,125.875,124.2188,125.5,127.4375,353524,0
ZB,2010-07-16,125.5,126.5312,125.3125,126.4062,128.3438,288558,0
ZB,2010-07-18,126.375,126.4062,126.2812,126.4062,128.3438,955,0
ZB,2010-07-19,126.4375,126.4688,125.4688,125.75,127.6875,214545,0
ZB,2010-07-20,125.75,126.4688,125.5625,125.7812,127.7188,252837,0
ZB,2010-07-21,125.7812,127.5,125.625,127.0625,129.0,320247,0
ZB,2010-07-22,127.0312,127.2812,125.9062,125.9062,127.8438,229491,0
ZB,2010-07-23,125.9062,126.2812,125.1875,125.2812,127.2188,259361,0
ZB,2010-07-25,125.2812,125.3125,125.1562,125.2812,127.2188,1047,0
ZB,2010-07-26,125.25,125.5625,124.5625,125.2188,127.1562,184539,0
ZB,2010-07-27,125.2188,125.375,124.2812,124.5312,126.4688,236996,0
ZB,2010-07-28,124.5312,125.0312,124.0938,124.9375,126.875,273907,0
ZB,2010-07-29,124.9375,125.1875,124.2812,125.1562,127.0938,298868,0
ZB,2010-07-30,125.1562,126.8125,125.0,126.6875,128.625,354836,0
ZB,2010-08-01,126.625,126.6562,126.4375,126.4375,128.375,1723,0
ZB,2010-08-02,126.4375,126.5938,125.625,125.7812,127.7188,187450,0
ZB,2010-08-03,125.8125,126.7188,125.75,126.375,128.3125,227873,0
ZB,2010-08-04,126.375,126.9062,125.8125,125.9375,127.875,219297,0
ZB,2010-08-05,125.9375,126.9062,125.8125,126.5938,128.5312,237950,0
ZB,2010-08-06,126.5938,127.9062,126.4062,127.5938,129.5312,264515,0
ZB,2010-08-08,127.5938,127.6875,127.5938,127.6875,129.625,832,0
ZB,2010-08-09,127.6875,127.7812,127.1562,127.2188,129.1562,183141,0
ZB,2010-08-10,127.2188,128.7812,127.2188,128.1562,130.0938,310494,0
ZB,2010-08-11,128.125,129.5312,128.0625,129.4375,131.375,312535,0
ZB,2010-08-12,129.4375,129.75,128.9688,129.0625,131.0,322361,0
ZB,2010-08-13,129.0625,130.25,129.0625,130.1875,132.125,225400,0
ZB,2010-08-15,130.125,130.3438,130.0312,130.3125,132.25,2418,0
ZB,2010-08-16,130.3125,132.0938,130.2188,131.9688,133.9062,311366,0
ZB,2010-08-17,131.9688,131.9688,130.8438,131.0938,133.0312,260932,0
ZB,2010-08-18,131.0938,132.2812,131.0625,131.5,133.4375,272472,0
ZB,2010-08-19,131.5,133.0312,131.0312,132.4062,134.3438,370094,0
ZB,2010-08-20,132.375,133.2812,131.9688,132.0625,134.0,247354,0
ZB,2010-08-22,132.0312,132.0938,131.9062,132.0312,133.9688,3208,0
ZB,2010-08-23,132.0,132.4062,131.75,132.3438,134.2812,188914,0
