symbol,date,open,high,low,close,close_unadjusted,volume,is_roll_date
ZN,2010-06-07,120.625,120.9375,120.1562,120.7188,121.8125,7693,0
ZN,2010-06-08,120.6875,120.875,120.4375,120.5312,121.625,12687,0
ZN,2010-06-09,120.5156,120.7188,120.1719,120.5469,121.6406,8483,0
ZN,2010-06-10,120.6094,120.6094,119.5,119.5,120.5938,7416,0
ZN,2010-06-11,119.5781,120.2969,119.5469,120.1719,121.2656,4360,0
ZN,2010-06-14,119.9062,120.0156,119.4219,120.0,121.0938,2285,0
ZN,2010-06-15,119.9688,120.1406,119.5625,119.6094,120.7031,2611,0
ZN,2010-06-16,119.5938,120.1562,119.5938,119.9219,121.0156,4030,0
ZN,2010-06-17,120.0625,120.5625,119.7031,120.4375,121.5312,4969,0
ZN,2010-06-18,120.375,120.5156,120.125,120.1719,121.2656,1075,0
ZN,2010-06-20,120.0,120.0,119.7344,119.7344,120.8281,231,0
ZN,2010-06-21,119.8281,120.0625,119.5312,120.0625,121.1562,2136,0
ZN,2010-06-22,119.1562,119.9062,118.9844,119.8281,120.9219,932108,0
ZN,2010-06-23,119.8125,120.4062,119.6719,120.2188,121.3125,1093141,0
ZN,2010-06-24,120.2031,120.6875,120.0625,120.1875,121.2812,1223280,0
ZN,2010-06-25,120.1719,120.7031,120.0156,120.4062,121.5,1065121,0
ZN,2010-06-27,120.5156,120.5469,120.4375,120.5156,121.6094,4682,0
ZN,2010-06-28,120.5156,121.1719,120.4062,121.0469,122.1406,840165,0
ZN,2010-06-29,121.0312,121.6094,121.0156,121.5625,122.6562,1301280,0
ZN,2010-06-30,121.5469,121.75,121.1562,121.5156,122.6094,1106821,0
ZN,2010-07-01,121.5156,121.9375,121.3281,121.4219,122.5156,1267539,0
ZN,2010-07-02,121.4219,121.6875,121.0312,121.25,122.3438,1102090,0
ZN,2010-07-04,121.2656,121.3594,121.25,121.2969,122.3906,1491,0
ZN,2010-07-05,121.2812,121.6562,121.2031,121.625,122.7188,67662,0
ZN,2010-07-06,121.6406,121.7344,121.1094,121.5781,122.6719,839755,0
ZN,2010-07-07,121.5625,121.7656,121.2188,121.2656,122.3594,837132,0
ZN,2010-07-08,121.2656,121.375,120.7344,121.0,122.0938,1095131,0
ZN,2010-07-09,121.0,121.0781,120.75,120.8594,121.9531,639097,0
ZN,2010-07-11,120.8438,120.9219,120.8125,120.8594,121.9531,3727,0
ZN,2010-07-12,120.875,121.25,120.7969,120.9219,122.0156,769907,0
ZN,2010-07-13,120.9219,121.25,120.3594,120.4062,121.5,1036906,0
ZN,2010-07-14,120.4062,121.2188,120.4062,121.1875,122.2812,1264334,0
ZN,2010-07-15,121.1875,121.7969,120.8438,121.5469,122.6406,1377757,0
ZN,2010-07-16,121.5469,122.3281,121.4531,122.2344,123.3281,1099718,0
ZN,2010-07-18,122.2812,122.2812,122.2031,122.2656,123.3594,4356,0
ZN,2010-07-19,122.2656,122.3281,121.8281,121.9844,123.0781,684117,0
ZN,2010-07-20,121.9844,122.4531,121.8281,122.0156,123.1094,1039774,0
ZN,2010-07-21,122.0156,122.6562,121.9062,122.4531,123.5469,1138365,0
ZN,2010-07-22,122.4531,122.5938,121.9062,121.9219,123.0156,905030,0
ZN,2010-07-23,121.9375,122.1875,121.5469,121.5938,122.6875,1094442,0
ZN,2010-07-25,121.5938,121.6094,121.4844,121.5938,122.6875,5438,0
ZN,2010-07-26,121.5938,121.75,121.2812,121.625,122.7188,776934,0
ZN,2010-07-27,121.6094,121.7344,121.1094,121.2812,122.375,975484,0
ZN,2010-07-28,121.2656,121.8438,121.1406,121.8281,122.9219,1024159,0
ZN,2010-07-29,121.8125,122.375,121.6719,122.2656,123.3594,1259294,0
ZN,2010-07-30,122.2812,122.7969,122.2031,122.6875,123.7812,1133398,0
ZN,2010-08-01,122.6719,122.6875,122.5469,122.5625,123.6562,5482,0
ZN,2010-08-02,122.5625,122.625,122.2969,122.4219,123.5156,685227,0
ZN,2010-08-03,122.4219,123.0781,122.3906,122.8438,123.9375,932009,0
ZN,2010-08-04,122.8438,123.1562,122.4688,122.5781,123.6719,964893,0
ZN,2010-08-05,122.5781,122.9531,122.4062,122.8281,123.9219,909328,0
ZN,2010-08-06,122.8125,123.5938,122.6875,123.4844,124.5781,1075505,0
ZN,2010-08-08,123.4844,123.5156,123.4688,123.5156,124.6094,3741,0
ZN,2010-08-09,123.5156,123.6562,123.3438,123.3594,124.4531,564046,0
ZN,2010-08-10,123.3594,124.1406,123.2031,124.1094,125.2031,1176435,0
